title,id,stage,creation,activity,components,assignee,status,message_count
"asyncio calls from sync/async, better docs or api support",42117,None,2020-10-22.13:47:16,2020-10-22.14:08:31,['30'],None,1,1.0
Inspect library ignore comments at the end of a function (inspect.getsource),42116,None,2020-10-22.10:48:43,2020-10-22.10:50:14,['9'],None,1,1.0
Caching infrastructure for the evaluation loop: specialised opcodes,42115,None,2020-10-22.03:21:38,2020-10-22.10:42:56,['34'],None,1,8.0
Documentation of ctypes.CDLL does not correspond to code,42114,None,2020-10-21.22:02:15,2020-10-21.22:12:43,['22'],None,1,3.0
ZipFIle.write remove slash at the beginning of member's path,42112,4,2020-10-21.20:16:37,2020-10-21.20:57:52,['9'],None,1,None
Make the xxlimited module an example of best extension module practices,42111,None,2020-10-21.19:58:56,2020-10-21.19:58:56,['34'],None,1,1.0
race condition in ThreadChildWatcher (default) and MultiLoopChildWatcher,42110,None,2020-10-21.18:44:25,2020-10-21.18:44:25,['30'],None,1,1.0
"Use hypothesis for testing the standard library, falling back to stubs",42109,4,2020-10-21.17:38:33,2020-10-21.17:43:43,['12'],24890,1,1.0
HTTPSConnection hangs forever when the percentage completed of the upload drops from 100 to 0,42108,None,2020-10-21.14:28:09,2020-10-21.14:28:09,['33'],3108,1,1.0
Monotonic time on macOS 10.12+ should use mach_continuous_time(),42107,None,2020-10-21.10:37:25,2020-10-21.18:55:54,['10'],None,1,2.0
docs.python.org prioritises search horribly,42106,None,2020-10-21.09:59:57,2020-10-21.13:36:39,['4'],12260,1,3.0
xml.etree should support contains() function,42104,None,2020-10-21.02:54:16,2020-10-21.02:54:16,['9'],None,1,1.0
[security] DoS (MemError via CPU and RAM exhaustion) when processing malformed Apple Property List files in binary format,42103,4,2020-10-21.00:25:11,2020-10-22.09:59:32,['9'],None,1,7.0
"Make builtins.callable ""generic""",42102,4,2020-10-20.21:48:49,2020-10-21.06:53:00,[],None,1,5.0
Allow inheritance of Venvs,42101,None,2020-10-20.21:18:09,2020-10-20.21:18:09,[],None,1,1.0
Add _PyType_GetModuleByDef,42100,4,2020-10-20.20:35:05,2020-10-20.20:36:38,['34'],None,1,1.0
Fix reference to ob_type in unionobject.c and ceval,42099,4,2020-10-20.19:18:59,2020-10-20.19:22:34,['8'],2377,1,1.0
Test suite should verify auditing events get triggered,42098,None,2020-10-20.19:17:14,2020-10-20.19:17:14,['12'],None,1,1.0
Python 3.7.9 logging/threading/fork hang,42097,None,2020-10-20.14:36:31,2020-10-22.03:59:17,['9'],None,1,6.0
zipfile.is_zipfile incorrectly identifying a gzipped file as a zip archive,42096,None,2020-10-20.08:51:47,2020-10-22.08:19:37,['9'],None,1,3.0
plistlib: Add tests that compare with plutil(1),42095,4,2020-10-20.07:24:21,2020-10-20.08:10:30,"['9', '10']",None,1,2.0
isoformat() / fromisoformat() for datetime.timedelta,42094,None,2020-10-20.07:13:53,2020-10-20.07:57:56,['9'],None,1,3.0
test_host_resolution_bad_address does not always fail as expected,42092,None,2020-10-19.21:22:22,2020-10-19.21:22:22,[],None,1,1.0
"strftime returns empty string for -d, -I 3.8.3",42091,None,2020-10-19.21:07:11,2020-10-19.21:25:33,[],None,1,2.0
zipfile.Path.joinpath API inconsistent with pathlib.Path.joinpath,42090,None,2020-10-19.20:58:28,2020-10-20.13:15:54,['9'],None,1,2.0
types.SimpleNamespace.__repr__ documentation inconsistency,42088,None,2020-10-19.20:34:54,2020-10-19.20:34:54,['9'],None,1,1.0
Remove pre-AIX 6.1 dead code paths,42087,4,2020-10-19.20:24:45,2020-10-20.19:22:37,['8'],None,1,1.0
AST: Document / re-design? the simple constructor nodes from sums,42086,None,2020-10-19.19:58:22,2020-10-19.19:58:22,['9'],None,1,1.0
Add dedicated slot for sending values,42085,4,2020-10-19.19:38:16,2020-10-21.03:23:56,['8'],None,1,1.0
PyStructSequence_NewType broken in 3.8,42083,None,2020-10-19.18:27:05,2020-10-19.19:14:31,['34'],None,1,1.0
Eliminate test_peg_generator redundant output,42082,3,2020-10-19.17:27:28,2020-10-19.17:31:43,"['8', '12']",26244,1,2.0
Why does tarfile.next swallow InvalidHeaderError,42079,None,2020-10-19.08:55:37,2020-10-19.08:55:37,['9'],None,1,1.0
_tracemalloc.c and Clang-cl,42078,None,2020-10-19.07:03:42,2020-10-19.07:03:42,['1'],None,1,1.0
urllib ResourceWarning in case of usage of FTP,42076,None,2020-10-18.23:00:52,2020-10-18.23:00:52,['9'],None,1,1.0
Verbose/confusing default format on warnings,42075,None,2020-10-18.22:15:40,2020-10-18.23:02:43,['9'],None,1,4.0
setup error on windows,42074,None,2020-10-18.21:49:09,2020-10-19.21:36:34,['7'],None,1,3.0
"classmethod does not pass ""type/owner"" when invoking wrapped __get__",42073,4,2020-10-18.20:22:44,2020-10-18.22:25:59,['8'],None,1,1.0
I think the rationale to keep IsoCalendarDate private from the pickle perspective should get revisited,42070,None,2020-10-18.18:44:55,2020-10-18.20:53:38,['9'],None,1,2.0
